name,used_capacity_2024,used_capacity_2025,used_capacity_2026,used_capacity_2027,used_capacity_2028
Chicago,320000.0,500000.0,500000.0,500000.0,500000.0
Miami,0.0,0.0,290000.0,475000.0,600000.0
Los Angeles,0.0,0.0,0.0,430000.0,545000.0
Denver,275000.0,400000.0,400000.0,375000.0,400000.0
Seattle,255000.0,415000.0,485000.0,275000.0,300000.0
